ctry,id,lseats,lpo,useats,upo,bicam1,bicam2,leform,lmag,lprop,pres1,pres2,msufyr,fsufyr,indyr,conyr,humrts,free,bdem,vdem60,vdem70,secgov,tergov,quagov,ngovpw,dgovpw,psupgpw,npgovpw,ngov80,dgov80,psupg80,npgov80,vpart,pop,dpop,age,ethdom,ethind,immig,flpart,dspend,espend,hespend,ssspend,hospend,ecspend,ospend,ue,sspendg,pd,lnlmag,lnlprop
US,1,435,2,100,6,1,1,1,1,94,1,1,1870,1920,1776,1789,92,2,92.4,17.5,17.6,50,2992,78200,14,30,49,1,3,48,40.6,1,55.1,238780,1.58,11.9,63,0.58,2.7,43.7,24.6,3.4,9.3,36.6,2.9,8.7,14.4,8,11.5,0,0,4.543295
JA,2,512,4,252,6,1,1,1,3.9,91,0,0,1925,1945,-660,1947,92,3,99.8,20.2,26.5,47,,900,32,17.1,52,1,7,18.2,56.4,1,70.2,120579,1.26,10.2,98,0.03,0.7,39.7,,,,,,,,1,8,0,1.360977,4.510859
GE,3,520,4,45,,1,1,,,98,1,0,1869,1919,1955,1949,91,3,88.6,30.7,32.8,11,8502,,15,32.2,58.9,2.2,4,25.3,55.2,2,88.1,61065,0.62,14.8,94,0.12,1.5,38.7,10.5,1.1,19.6,48.9,0.3,8.7,10.9,4,18.4,1,,4.584968
FR,4,577,5,319,9,1,0,1,1,79,1,1,1848,1944,843,1958,88,3,90.8,17.1,33.4,22,421,37108,44,11.9,59,4.3,7,14.2,55.7,3,69.9,55133,0.89,12.9,82,0.33,-0.1,41.8,7.6,9.9,15,40.8,3.2,9.5,14,4,20.6,0,0,4.369448
IT,5,630,5,323,5,1,1,0,20.3,95,1,0,1912,1946,1861,1948,88,4,96.8,36.5,38.4,20,94,8075,43,12.3,52.1,2.7,10,12.3,54.3,4,84,56945,0.56,12.9,96,0.08,1.5,34.8,4.9,12.3,16.4,32.8,2,18.4,13.2,5,16,0,3.010621,4.553877
UK,6,650,5,1180,,1,0,1,1,85,0,0,1918,1928,1066,1688,95,2,99.1,26.9,30,65,422,11000,16,32.8,54.3,1,2,48,59.5,1,72.7,56539,0.33,15.1,79,0.37,1.3,40.4,13.7,2.6,12.9,21.7,3.5,12.4,33.3,3,10.9,1,0,4.442651
CA,7,195,5,104,,1,0,1,1,88,0,0,1917,1918,1867,1982,94,2,99.5,22.9,24.4,12,,3217,18,30,55,1,4,34.7,59.2,1,72,25414,2.36,10.4,38,0.77,1.1,42.4,7.3,3.2,7.7,35,2,18.7,26.1,6,10.2,0,0,4.477337
AU,8,183,4,63,,1,0,0,20.3,98,1,0,1907,1918,1918,1920,92,2,97.1,33.5,30.8,9,,2300,17,30.8,76.4,1.8,3,22,64.3,2,91.3,7545,0.24,14.3,93,0.13,1.1,41.4,3.3,10.6,12.3,45.5,3.3,12.7,12.4,1,16.9,1,3.010621,4.584968
BE,9,212,4,183,4,1,1,0,7.1,91,0,0,1893,1948,1830,1831,92,2,99.9,34.2,38,12,44,596,29,18,61.7,3,7,16.8,64.6,4.3,86.1,9853,0.39,13.8,59,0.54,0.1,39.8,6.3,16.2,1.6,43.7,1.6,15.1,15.4,4,18.8,1,1.960095,4.510859
DE,10,179,4,,,0,0,0,9.7,99,0,0,1901,1915,800,1953,96,2,99.9,33.6,40.3,14,,275,26,20.2,41.1,1.8,5,19.5,38.8,3.2,85.3,5101,0.54,15.1,98,0.05,1.8,45.6,7,11.5,3.5,43.5,2,10.5,22,4,13.9,1,2.272126,4.59512
FI,11,200,4,,,0,0,0,13.3,98,1,1,1906,1906,1917,1919,96,4,97.3,28.6,19.4,12,,461,38,13.6,57.4,2.9,4,21,60.6,3.8,75.4,4919,0.63,12.5,92,0.15,0.6,47.3,5.1,14.6,10.6,26.8,1.4,30.4,11,2,9.6,1,2.587764,4.584968
