codmpio,ano,subsidiado,cober_subsidiado,contributivo,especial,nacimientos,naci_bajopeso,defunciones,defun_menores,defun_ninez,tmi,prestadores,sedes,tacued,turbacued,truracued,taseo,turbaseo,truraseo,talcan,turbalcan,truralcan,uee_cm_sin,uee_resto_sin,ueetot_sin,uee_cm_zni,uee_resto_zni,ueetot_zni,uee_cm,uee_resto,tot_uee,uee_subn_sin,icee_cm,icee_resto,icee_tot,catastro,g_ures_ani,g_ures_con,g_u_tot,cob_gres_pot,cob_gres_efec
5001,1998,216459,0.69479427908511,NA,NA,37877,3266,12139,550,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,1999,223459,0.7088841363823808,NA,NA,38306,3373,12871,596,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,2000,224868,0.7050753020817696,NA,NA,36610,3300,12367,622,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,2001,231613,0.7179381279939919,NA,NA,35488,3358,12604,555,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,2002,240640,0.7374513997723332,NA,NA,33547,3303,12927,465,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,2003,248661,0.7537235349372806,NA,NA,34058,3302,12071,455,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,2004,467519,1.4018814991939685,NA,NA,33615,3471,11512,457,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,2005,1090119,1.0561684647021494,NA,NA,33515,3488,11238,412,66,14,NA,NA,97.4076173518713,97.71719517389222,78.50900852303376,NA,NA,NA,96.80077481099202,97.34058627984285,63.84723271118783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,2006,1072494,1,NA,NA,33655,3483,11822,374,82,13.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594553,353077,160230,162456,59.385284423828125,26.949657440185547
5001,2007,872727,1,NA,NA,33781,3428,11776,394,66,13.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594553,443241,211132,213973,74.55029296875,35.51104736328125
5001,2008,872727,1,NA,NA,33228,3578,12329,381,90,13.81,NA,NA,84.3,86,7.59,87.56,89.22,13.02,80.64,82.3,5.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1778,1758,1793,1845,98.87513732910156,100.84364318847656
5001,2009,693129,1,1535192,NA,31893,3560,13017,333,69,13.75,NA,NA,87.42,89.83,17.12,87.27,89.37,26.21,83.47,85.75,17.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594553,531670,7552,11933,89.4234848022461,1.2701979875564575
5001,2010,707128,1,1568377,NA,28587,3133,13096,275,71,13.69,11,87,91.93,92.95,62.83,88.4,90.46,29.32,86.27,88.54,21.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594553,547878,343769,348618,92.149566650390625,57.819740295410156
5001,2011,581390,0.8841223254611537,1656522,25377,27675,2878,12472,260,50,13.543017103929927,11,87,91.75,92.62,59.73,87.5,89.24,23.86,86.68,88.6,16.63,NA,NA,714383,NA,NA,0,677380,37003,714383,0,100,100,100,594553,607380,396324,402396,102.15741729736328,66.6591567993164
5001,2012,598362,1,1669103,27307,27816,2899,12196,261,45,12.581929095394282,13,91,92.66,93.07,79.16,87.05,88.95,24.72,86.89,88.85,22.58,709539,38496,748035,0,0,0,709539,38496,748035,0,100,100,100,669933,645522,448959,456555,96.356201171875,67.01551055908203
5001,2013,601623,0.9954926557093855,1680805,26689,27565,2805,12108,256,42,11.65876976905105,13,91,96.69,97.07,83.23,88.49,90.01,35.34,90.27,91.99,30.09,722320,39898,762218,0,0,0,722320,39898,762218,0,100,100,100,669933,670009,490371,498930,100.01134490966797,73.197021484375
5001,2014,539029,0.9603190439371319,1725425,37332,28474,2917,12494,215,41,11.366349494588166,13,97,94.89,95.45,75,87.68,89.47,24.33,91.09,92.88,27.76,765104,15140,780244,0,0,0,765104,15140,780244,0,100,100,100,669933,691858,521703,531225,103.27271270751953,77.87390899658203
5001,2015,532544,0.9663326667852179,1802793,41855,29211,2902,12967,243,38,11.1232022,13,98,95.81,96.52,72.28,89.55,91.57,23.03,90.22,92.52,14.46,785529,15409,800938,0,0,0,785529,15409,800938,0,100,100,100,669933,714450,547951,557858,106.6449966430664,81.79190826416016
5001,2016,512364,0.9897815259022171,1903126,47392,NA,NA,NA,NA,NA,NA,13,98,96.65,96.89,86.64,82.17,83.45,23.92,91.56,93.13,26.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666033,738456,577279,587810,110.873779296875,86.67423248291016
5002,1998,7220,0.6395903220239827,NA,NA,456,51,142,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5002,1999,7220,0.6418711201024434,NA,NA,464,41,149,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5002,2000,7220,0.6449711013640871,NA,NA,487,39,163,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5002,2001,7466,0.6709185131453659,NA,NA,432,45,181,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
