cod_comuna,ano,nom_comuna,cod_zona,nom_zona
01,2000,Popular,1,Zona 1 - Nororiental
02,2000,Santa Cruz,1,Zona 1 - Nororiental
03,2000,Manrique,1,Zona 1 - Nororiental
04,2000,Aranjuez,1,Zona 1 - Nororiental
05,2000,Castilla,2,Zona 2 - Noroccidental
06,2000,Doce de Octubre,2,Zona 2 - Noroccidental
07,2000,Robledo,2,Zona 2 - Noroccidental
08,2000,Villa Hermosa,3,Zona 3 - Centroriental
09,2000,Buenos Aires,3,Zona 3 - Centroriental
10,2000,La Candelaria,3,Zona 3 - Centroriental
11,2000,Laureles-Estadio,4,Zona 4 - Centroccidental
12,2000,La América,4,Zona 4 - Centroccidental
13,2000,San Javier,4,Zona 4 - Centroccidental
14,2000,El Poblado,5,Zona 5 - Suroriental
15,2000,Guayabal,6,Zona 6 - Suroccidental
16,2000,Belén,6,Zona 6 - Suroccidental
50,2000,San Sebastián de Palmitas,7,Corregimientos
60,2000,San Cristóbal,7,Corregimientos
70,2000,Altavista,7,Corregimientos
80,2000,San Antonio de Prado,7,Corregimientos
90,2000,Santa Elena,7,Corregimientos
01,2001,Popular,1,Zona 1 - Nororiental
02,2001,Santa Cruz,1,Zona 1 - Nororiental
03,2001,Manrique,1,Zona 1 - Nororiental
04,2001,Aranjuez,1,Zona 1 - Nororiental
05,2001,Castilla,2,Zona 2 - Noroccidental
06,2001,Doce de Octubre,2,Zona 2 - Noroccidental
07,2001,Robledo,2,Zona 2 - Noroccidental
08,2001,Villa Hermosa,3,Zona 3 - Centroriental
09,2001,Buenos Aires,3,Zona 3 - Centroriental
10,2001,La Candelaria,3,Zona 3 - Centroriental
11,2001,Laureles-Estadio,4,Zona 4 - Centroccidental
12,2001,La América,4,Zona 4 - Centroccidental
13,2001,San Javier,4,Zona 4 - Centroccidental
14,2001,El Poblado,5,Zona 5 - Suroriental
15,2001,Guayabal,6,Zona 6 - Suroccidental
16,2001,Belén,6,Zona 6 - Suroccidental
50,2001,San Sebastián de Palmitas,7,Corregimientos
60,2001,San Cristóbal,7,Corregimientos
70,2001,Altavista,7,Corregimientos
80,2001,San Antonio de Prado,7,Corregimientos
90,2001,Santa Elena,7,Corregimientos
01,2002,Popular,1,Zona 1 - Nororiental
02,2002,Santa Cruz,1,Zona 1 - Nororiental
03,2002,Manrique,1,Zona 1 - Nororiental
04,2002,Aranjuez,1,Zona 1 - Nororiental
05,2002,Castilla,2,Zona 2 - Noroccidental
06,2002,Doce de Octubre,2,Zona 2 - Noroccidental
07,2002,Robledo,2,Zona 2 - Noroccidental
08,2002,Villa Hermosa,3,Zona 3 - Centroriental
09,2002,Buenos Aires,3,Zona 3 - Centroriental
10,2002,La Candelaria,3,Zona 3 - Centroriental
11,2002,Laureles-Estadio,4,Zona 4 - Centroccidental
12,2002,La América,4,Zona 4 - Centroccidental
13,2002,San Javier,4,Zona 4 - Centroccidental
14,2002,El Poblado,5,Zona 5 - Suroriental
15,2002,Guayabal,6,Zona 6 - Suroccidental
16,2002,Belén,6,Zona 6 - Suroccidental
50,2002,San Sebastián de Palmitas,7,Corregimientos
60,2002,San Cristóbal,7,Corregimientos
70,2002,Altavista,7,Corregimientos
80,2002,San Antonio de Prado,7,Corregimientos
90,2002,Santa Elena,7,Corregimientos
01,2003,Popular,1,Zona 1 - Nororiental
02,2003,Santa Cruz,1,Zona 1 - Nororiental
03,2003,Manrique,1,Zona 1 - Nororiental
04,2003,Aranjuez,1,Zona 1 - Nororiental
05,2003,Castilla,2,Zona 2 - Noroccidental
06,2003,Doce de Octubre,2,Zona 2 - Noroccidental
07,2003,Robledo,2,Zona 2 - Noroccidental
08,2003,Villa Hermosa,3,Zona 3 - Centroriental
09,2003,Buenos Aires,3,Zona 3 - Centroriental
10,2003,La Candelaria,3,Zona 3 - Centroriental
11,2003,Laureles-Estadio,4,Zona 4 - Centroccidental
12,2003,La América,4,Zona 4 - Centroccidental
13,2003,San Javier,4,Zona 4 - Centroccidental
14,2003,El Poblado,5,Zona 5 - Suroriental
15,2003,Guayabal,6,Zona 6 - Suroccidental
16,2003,Belén,6,Zona 6 - Suroccidental
50,2003,San Sebastián de Palmitas,7,Corregimientos
60,2003,San Cristóbal,7,Corregimientos
70,2003,Altavista,7,Corregimientos
80,2003,San Antonio de Prado,7,Corregimientos
90,2003,Santa Elena,7,Corregimientos
01,2004,Popular,1,Zona 1 - Nororiental
02,2004,Santa Cruz,1,Zona 1 - Nororiental
03,2004,Manrique,1,Zona 1 - Nororiental
04,2004,Aranjuez,1,Zona 1 - Nororiental
05,2004,Castilla,2,Zona 2 - Noroccidental
06,2004,Doce de Octubre,2,Zona 2 - Noroccidental
07,2004,Robledo,2,Zona 2 - Noroccidental
08,2004,Villa Hermosa,3,Zona 3 - Centroriental
09,2004,Buenos Aires,3,Zona 3 - Centroriental
10,2004,La Candelaria,3,Zona 3 - Centroriental
11,2004,Laureles-Estadio,4,Zona 4 - Centroccidental
12,2004,La América,4,Zona 4 - Centroccidental
13,2004,San Javier,4,Zona 4 - Centroccidental
14,2004,El Poblado,5,Zona 5 - Suroriental
15,2004,Guayabal,6,Zona 6 - Suroccidental
16,2004,Belén,6,Zona 6 - Suroccidental
50,2004,San Sebastián de Palmitas,7,Corregimientos
60,2004,San Cristóbal,7,Corregimientos
70,2004,Altavista,7,Corregimientos
80,2004,San Antonio de Prado,7,Corregimientos
90,2004,Santa Elena,7,Corregimientos
01,2005,Popular,1,Zona 1 - Nororiental
02,2005,Santa Cruz,1,Zona 1 - Nororiental
03,2005,Manrique,1,Zona 1 - Nororiental
04,2005,Aranjuez,1,Zona 1 - Nororiental
05,2005,Castilla,2,Zona 2 - Noroccidental
06,2005,Doce de Octubre,2,Zona 2 - Noroccidental
07,2005,Robledo,2,Zona 2 - Noroccidental
08,2005,Villa Hermosa,3,Zona 3 - Centroriental
09,2005,Buenos Aires,3,Zona 3 - Centroriental
10,2005,La Candelaria,3,Zona 3 - Centroriental
11,2005,Laureles-Estadio,4,Zona 4 - Centroccidental
12,2005,La América,4,Zona 4 - Centroccidental
13,2005,San Javier,4,Zona 4 - Centroccidental
14,2005,El Poblado,5,Zona 5 - Suroriental
15,2005,Guayabal,6,Zona 6 - Suroccidental
16,2005,Belén,6,Zona 6 - Suroccidental
50,2005,San Sebastián de Palmitas,7,Corregimientos
60,2005,San Cristóbal,7,Corregimientos
70,2005,Altavista,7,Corregimientos
80,2005,San Antonio de Prado,7,Corregimientos
90,2005,Santa Elena,7,Corregimientos
01,2006,Popular,1,Zona 1 - Nororiental
02,2006,Santa Cruz,1,Zona 1 - Nororiental
03,2006,Manrique,1,Zona 1 - Nororiental
04,2006,Aranjuez,1,Zona 1 - Nororiental
05,2006,Castilla,2,Zona 2 - Noroccidental
06,2006,Doce de Octubre,2,Zona 2 - Noroccidental
07,2006,Robledo,2,Zona 2 - Noroccidental
08,2006,Villa Hermosa,3,Zona 3 - Centroriental
09,2006,Buenos Aires,3,Zona 3 - Centroriental
10,2006,La Candelaria,3,Zona 3 - Centroriental
11,2006,Laureles-Estadio,4,Zona 4 - Centroccidental
12,2006,La América,4,Zona 4 - Centroccidental
13,2006,San Javier,4,Zona 4 - Centroccidental
14,2006,El Poblado,5,Zona 5 - Suroriental
15,2006,Guayabal,6,Zona 6 - Suroccidental
16,2006,Belén,6,Zona 6 - Suroccidental
50,2006,San Sebastián de Palmitas,7,Corregimientos
60,2006,San Cristóbal,7,Corregimientos
70,2006,Altavista,7,Corregimientos
80,2006,San Antonio de Prado,7,Corregimientos
90,2006,Santa Elena,7,Corregimientos
01,2007,Popular,1,Zona 1 - Nororiental
02,2007,Santa Cruz,1,Zona 1 - Nororiental
03,2007,Manrique,1,Zona 1 - Nororiental
04,2007,Aranjuez,1,Zona 1 - Nororiental
05,2007,Castilla,2,Zona 2 - Noroccidental
06,2007,Doce de Octubre,2,Zona 2 - Noroccidental
07,2007,Robledo,2,Zona 2 - Noroccidental
08,2007,Villa Hermosa,3,Zona 3 - Centroriental
09,2007,Buenos Aires,3,Zona 3 - Centroriental
10,2007,La Candelaria,3,Zona 3 - Centroriental
11,2007,Laureles-Estadio,4,Zona 4 - Centroccidental
12,2007,La América,4,Zona 4 - Centroccidental
13,2007,San Javier,4,Zona 4 - Centroccidental
14,2007,El Poblado,5,Zona 5 - Suroriental
15,2007,Guayabal,6,Zona 6 - Suroccidental
16,2007,Belén,6,Zona 6 - Suroccidental
50,2007,San Sebastián de Palmitas,7,Corregimientos
60,2007,San Cristóbal,7,Corregimientos
70,2007,Altavista,7,Corregimientos
80,2007,San Antonio de Prado,7,Corregimientos
90,2007,Santa Elena,7,Corregimientos
01,2008,Popular,1,Zona 1 - Nororiental
02,2008,Santa Cruz,1,Zona 1 - Nororiental
03,2008,Manrique,1,Zona 1 - Nororiental
04,2008,Aranjuez,1,Zona 1 - Nororiental
05,2008,Castilla,2,Zona 2 - Noroccidental
06,2008,Doce de Octubre,2,Zona 2 - Noroccidental
07,2008,Robledo,2,Zona 2 - Noroccidental
08,2008,Villa Hermosa,3,Zona 3 - Centroriental
09,2008,Buenos Aires,3,Zona 3 - Centroriental
10,2008,La Candelaria,3,Zona 3 - Centroriental
11,2008,Laureles-Estadio,4,Zona 4 - Centroccidental
12,2008,La América,4,Zona 4 - Centroccidental
13,2008,San Javier,4,Zona 4 - Centroccidental
