country,area,year,TOTL,GROW
ABW,URB,2000,42444,1.18263237130859
ABW,URB,2001,43048,1.41302121757747
ABW,URB,2002,43670,1.4345595310351
ABW,URB,2003,44246,1.31036043903253
ABW,URB,2004,44669,0.951477683657806
ABW,URB,2005,44889,0.491302714501917
ABW,URB,2006,44881,-0.0178233263254496
ABW,URB,2007,44686,-0.435428914884284
ABW,URB,2008,44375,-0.69840056617148
ABW,URB,2009,44052,-0.730549349288235
ABW,URB,2010,43778,-0.623934621173475
ABW,URB,2011,43822,0.100456629452575
ABW,URB,2012,44064,0.550714816075563
ABW,URB,2013,44360,0.66950399359219
ABW,URB,2014,44674,0.705351442919869
ABW,URB,2015,44979,0.68040372695108
ABW,URB,2016,45275,0.655928958860132
ABW,URB,2017,45572,0.653848906639225
ABW,POP,2000,90853,2.0550267831539
ABW,POP,2001,92898,2.22593013018195
ABW,POP,2002,94992,2.22905604655647
ABW,POP,2003,97017,2.10935433511798
ABW,POP,2004,98737,1.75735286660729
ABW,POP,2005,100031,1.30203884024471
ABW,POP,2006,100832,0.797562762684472
ABW,POP,2007,101220,0.384060021106787
ABW,POP,2008,101353,0.1313107068666
ABW,POP,2009,101453,0.0986164197354338
ABW,POP,2010,101669,0.212680144365572
ABW,POP,2011,102053,0.376984768239015
ABW,POP,2012,102577,0.512144988851461
ABW,POP,2013,103187,0.592914005394165
ABW,POP,2014,103795,0.587492389430341
ABW,POP,2015,104341,0.524658158569933
ABW,POP,2016,104822,0.459929191971747
ABW,POP,2017,105264,0.420780682346729
AFG,URB,2000,4436299,3.91222845961752
AFG,URB,2001,4648055,4.66283822436107
AFG,URB,2002,4892951,5.13467454246197
AFG,URB,2003,5155686,5.23045853493535
AFG,URB,2004,5426770,5.12439301939892
AFG,URB,2005,5691823,4.76864699745982
AFG,URB,2006,5931413,4.12318810893938
AFG,URB,2007,6151939,3.65048521215157
AFG,URB,2008,6364968,3.40418878230817
AFG,URB,2009,6588859,3.45709878982243
AFG,URB,2010,6837008,3.69700166339713
AFG,URB,2011,7114615,3.9800910009913
AFG,URB,2012,7416385,4.15406226501529
AFG,URB,2013,7733964,4.19297967082464
AFG,URB,2014,8054214,4.05738943212628
AFG,URB,2015,8367663,3.81792013206761
AFG,URB,2016,8670939,3.56024553811413
AFG,URB,2017,8971345,3.40585196626164
AFG,POP,2000,20093756,3.49465873827217
AFG,POP,2001,20966463,4.25150411214678
AFG,POP,2002,21979923,4.72052846249987
AFG,POP,2003,23064851,4.81804111999567
AFG,POP,2004,24118979,4.46891839618783
AFG,POP,2005,25070798,3.8704701590704
AFG,POP,2006,25893450,3.22862984319083
